work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,principal data scientist,80000,EUR,85847,ES,100,ES,L
2023,MI,CT,ml engineer,30000,USD,30000,US,100,US,S
2023,MI,CT,ml engineer,25500,USD,25500,US,100,US,S
2023,SE,FT,data scientist,175000,USD,175000,CA,100,CA,M
2023,SE,FT,data scientist,120000,USD,120000,CA,100,CA,M
2023,SE,FT,applied scientist,222200,USD,222200,US,0,US,L
2023,SE,FT,applied scientist,136000,USD,136000,US,0,US,L
2023,SE,FT,data scientist,219000,USD,219000,CA,0,CA,M
2023,SE,FT,data scientist,141000,USD,141000,CA,0,CA,M
2023,SE,FT,data scientist,147100,USD,147100,US,0,US,M
2023,SE,FT,data scientist,90700,USD,90700,US,0,US,M
2023,SE,FT,data analyst,130000,USD,130000,US,100,US,M
2023,SE,FT,data analyst,100000,USD,100000,US,100,US,M
2023,EN,FT,applied scientist,213660,USD,213660,US,0,US,L
2023,EN,FT,applied scientist,130760,USD,130760,US,0,US,L
2023,SE,FT,data modeler,147100,USD,147100,US,0,US,M
2023,SE,FT,data modeler,90700,USD,90700,US,0,US,M
2023,SE,FT,data scientist,170000,USD,170000,US,0,US,M
2023,SE,FT,data scientist,150000,USD,150000,US,0,US,M
2023,MI,FT,data analyst,150000,USD,150000,US,100,US,M
2023,MI,FT,data analyst,110000,USD,110000,US,100,US,M
2023,SE,FT,research engineer,275000,USD,275000,DE,0,DE,M
2023,SE,FT,research engineer,174000,USD,174000,DE,0,DE,M
2023,SE,FT,analytics engineer,230000,USD,230000,GB,100,GB,M
2023,SE,FT,analytics engineer,143200,USD,143200,GB,100,GB,M
2023,SE,FT,business intelligence engineer,225000,USD,225000,US,0,US,M
2023,SE,FT,business intelligence engineer,156400,USD,156400,US,0,US,M
2023,SE,FT,machine learning engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,machine learning engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,data strategist,90000,USD,90000,CA,0,CA,M
2023,SE,FT,data strategist,72000,USD,72000,CA,0,CA,M
2023,SE,FT,data engineer,253200,USD,253200,US,0,US,M
2023,SE,FT,data engineer,90700,USD,90700,US,0,US,M
2023,SE,FT,computer vision engineer,342810,USD,342810,US,0,US,M
2023,SE,FT,computer vision engineer,184590,USD,184590,US,0,US,M
2023,MI,FT,data engineer,162500,USD,162500,US,0,US,M
2023,MI,FT,data engineer,130000,USD,130000,US,0,US,M
2023,MI,FT,data analyst,105380,USD,105380,US,0,US,M
2023,MI,FT,data analyst,64500,USD,64500,US,0,US,M
2023,EN,FT,data quality analyst,100000,USD,100000,NG,100,NG,L
2023,EN,FT,compliance data analyst,30000,USD,30000,NG,100,NG,L
2023,EN,FT,applied scientist,204620,USD,204620,US,0,US,L
2023,EN,FT,applied scientist,110680,USD,110680,US,0,US,L
2023,SE,FT,data engineer,270703,USD,270703,US,0,US,M
2023,SE,FT,data engineer,221484,USD,221484,US,0,US,M
2023,SE,FT,data scientist,212750,USD,212750,US,100,US,M
2023,SE,FT,data scientist,185000,USD,185000,US,100,US,M
2023,SE,FT,data scientist,262000,USD,262000,US,100,US,M
2023,SE,FT,data scientist,245000,USD,245000,US,100,US,M
2023,SE,FT,data scientist,275300,USD,275300,US,100,US,M
2023,SE,FT,data scientist,183500,USD,183500,US,100,US,M
2023,SE,FT,data scientist,218500,USD,218500,US,100,US,M
2023,SE,FT,data scientist,199098,USD,199098,US,100,US,M
2023,SE,FT,data engineer,203300,USD,203300,US,100,US,M
2023,SE,FT,data engineer,123600,USD,123600,US,100,US,M
2023,SE,FT,research engineer,189110,USD,189110,US,0,US,M
2023,SE,FT,research engineer,139000,USD,139000,US,0,US,M
2023,EX,FT,data scientist,258750,USD,258750,US,0,US,M
2023,EX,FT,data scientist,185000,USD,185000,US,0,US,M
2023,SE,FT,data engineer,231500,USD,231500,US,100,US,M
2023,SE,FT,data engineer,166000,USD,166000,US,100,US,M
2023,SE,FT,data scientist,172500,USD,172500,US,100,US,M
2023,SE,FT,data scientist,110500,USD,110500,US,100,US,M
2023,SE,FT,data engineer,238000,USD,238000,US,0,US,M
2023,SE,FT,data engineer,176000,USD,176000,US,0,US,M
2023,SE,FT,data engineer,237000,USD,237000,US,100,US,M
2023,SE,FT,data engineer,201450,USD,201450,US,100,US,M
2023,SE,FT,applied scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,applied scientist,159100,USD,159100,US,0,US,L
2023,SE,FT,data engineer,115000,USD,115000,US,0,US,M
2023,SE,FT,data engineer,81500,USD,81500,US,0,US,M
2023,SE,FT,data scientist,237000,USD,237000,US,100,US,M
2023,SE,FT,data scientist,201450,USD,201450,US,100,US,M
2023,SE,FT,computer vision engineer,280000,USD,280000,US,0,US,M
2023,SE,FT,computer vision engineer,210000,USD,210000,US,0,US,M
2023,SE,FT,data architect,280100,USD,280100,US,100,US,M
2023,SE,FT,data architect,168100,USD,168100,US,100,US,M
2023,SE,FT,data engineer,193500,USD,193500,US,100,US,M
2023,SE,FT,data engineer,139000,USD,139000,US,100,US,M
2023,MI,FT,data scientist,510000,HKD,65062,HK,0,HK,L
2023,SE,FT,machine learning engineer,150000,USD,150000,PT,100,US,M
2023,MI,FT,applied machine learning engineer,65000,EUR,69751,IN,100,DE,S
2022,EN,FT,ai developer,300000,USD,300000,IN,50,IN,L
2023,MI,FT,machine learning engineer,90000,EUR,96578,NL,100,NL,L
2023,SE,FT,business intelligence engineer,185900,USD,185900,US,0,US,M
2023,SE,FT,business intelligence engineer,129300,USD,129300,US,0,US,M
2023,SE,FT,data engineer,225000,USD,225000,US,100,US,M
2023,SE,FT,data engineer,175000,USD,175000,US,100,US,M
2023,SE,FT,data engineer,185000,USD,185000,US,0,US,M
